ShowID;"Show name";"Model ID";"Model Name";Collection;"Release date";Set
a0807;"Wild romance";318;"Kristine Crystalis";"iStripper Classic";2011-03-25;http://g.isbnrs.com/a0807.zip
a0806;"Road closed";286;"Ally Style";"iStripper Classic";2010-12-31;http://g.isbnrs.com/a0806.zip
a0805;Dancefloor;286;"Ally Style";"iStripper Classic";2011-02-11;http://g.isbnrs.com/a0805.zip
a0804;"Pink leopard";286;"Ally Style";"iStripper Classic";2011-01-28;http://g.isbnrs.com/a0804.zip
a0803;"Yellow butterfly";286;"Ally Style";"iStripper Classic";2011-01-14;http://g.isbnrs.com/a0803.zip
a0802;"Saturday evening";286;"Ally Style";"iStripper Classic";2011-02-25;http://g.isbnrs.com/a0802.zip
a0801;"Final assault";265;"Baby Nicole";"iStripper Classic";2011-01-28;http://g.isbnrs.com/a0801.zip
a0800;"Sex bomb";265;"Baby Nicole";"iStripper Classic";2011-02-18;http://g.isbnrs.com/a0800.zip
a0799;"Vacation villa";265;"Baby Nicole";"iStripper Classic";2011-01-14;http://g.isbnrs.com/a0799.zip
a0798;"Latex girl";265;"Baby Nicole";"iStripper Classic";2010-12-17;http://g.isbnrs.com/a0798.zip
a0797;"Sexy street";265;"Baby Nicole";"iStripper Classic";2010-12-31;http://g.isbnrs.com/a0797.zip
a0796;"New wave";265;"Baby Nicole";"iStripper Classic";2011-03-04;http://g.isbnrs.com/a0796.zip
a0795;Commando;264;Zanet;"iStripper Classic";2011-02-04;http://g.isbnrs.com/a0795.zip
a0794;Palace;264;Zanet;"iStripper Classic";2010-12-10;http://g.isbnrs.com/a0794.zip
a0793;"Top floor";264;Zanet;"iStripper Classic";2011-01-21;http://g.isbnrs.com/a0793.zip
a0792;"Surprise visit";264;Zanet;"iStripper Classic";2011-02-18;http://g.isbnrs.com/a0792.zip
a0791;Cranberry;264;Zanet;"iStripper Classic";2010-12-24;http://g.isbnrs.com/a0791.zip
a0790;"Beach bar";264;Zanet;"iStripper Classic";2011-01-07;http://g.isbnrs.com/a0790.zip
a0789;Backgammon;259;"Kitty Jane";"iStripper ";2010-12-03;http://g.isbnrs.com/a0789.zip
a0788;Hello;259;"Kitty Jane";"iStripper Classic";2010-12-24;http://g.isbnrs.com/a0788.zip
a0787;"Graceful lady";258;"Tina Kay";"iStripper ";2010-11-26;http://g.isbnrs.com/a0787.zip
a0786;"West indies";258;"Tina Kay";"iStripper ";2011-01-07;http://g.isbnrs.com/a0786.zip
a0785;Payday;258;"Tina Kay";"iStripper Classic";2010-12-24;http://g.isbnrs.com/a0785.zip
a0784;"Quiet sea";258;"Tina Kay";"iStripper Classic";2010-12-10;http://g.isbnrs.com/a0784.zip
a0783;"Delightful girl";258;"Tina Kay";"iStripper Classic";2011-01-28;http://g.isbnrs.com/a0783.zip
a0782;"Intense black";257;"Melissa Ria";"iStripper Classic";2011-01-21;http://g.isbnrs.com/a0782.zip
a0781;"Select party";257;"Melissa Ria";"iStripper Classic";2010-12-03;http://g.isbnrs.com/a0781.zip
a0780;"Orange fizz";257;"Melissa Ria";"iStripper Classic";2010-12-17;http://g.isbnrs.com/a0780.zip
a0779;"Candy perfume";257;"Melissa Ria";"iStripper Classic";2010-11-26;http://g.isbnrs.com/a0779.zip
a0778;"Guest room";257;"Melissa Ria";"iStripper Classic";2011-01-07;http://g.isbnrs.com/a0778.zip
a0777;"Dark city";56;Zafira;"iStripper ";2010-11-19;http://g.isbnrs.com/a0777.zip
a0776;"Dove feather";56;Zafira;"iStripper ";2010-12-03;http://g.isbnrs.com/a0776.zip
a0775;"Private club";249;Wellie;"iStripper Classic";2010-11-12;http://g.isbnrs.com/a0775.zip
a0774;"Fire department";263;"Candy Blond & Wellie";"iStripper Classic";2010-12-03;http://g.isbnrs.com/a0774.zip
